playlist,id,track,artist,album,release_date,release_year,length_ms,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
The Sound of Rock,1Y373MqadDRtclJNdnUXVc,Paranoid - 2012 - Remaster,['Black Sabbath'],Paranoid (Remaster),1970-09-18,1970,168405,False,76,0.412,0.658,4,-12.051,0,0.0708,4.52e-05,0.000774,0.176,0.454,163.071
The Sound of Rock,5CQ30WqJwcep0pYcV4AMNc,Stairway to Heaven - Remaster,['Led Zeppelin'],Led Zeppelin IV (Deluxe Edition),1971-11-08,1971,482830,False,81,0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433
The Sound of Rock,3dPQuX8Gs42Y7b454ybpMR,Seven Nation Army,['The White Stripes'],Elephant,2003-04-01,2003,232106,False,88,0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596
The Sound of Rock,5UWwZ5lm5PKu6eKsHAGxOk,Everlong,['Foo Fighters'],The Colour And The Shape,1997-05-20,1997,250546,False,87,0.413,0.881,11,-5.541,0,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066
The Sound of Rock,3qiyyUfYe7CRYLucrPmulD,Baba O'Riley,['The Who'],Who's Next (Deluxe Edition),1971-08-14,1971,300400,False,79,0.489,0.724,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292
The Sound of Rock,7fURZRPkB2S70sYR1naKTK,Black Hole Sun,['Soundgarden'],Superunknown,1994-01-01,1994,318000,False,54,0.361,0.728,6,-8.519,1,0.0368,0.000291,0.000112,0.0701,0.155,105.768
The Sound of Rock,2aoo2jlRnM3A0NyLQqMN2f,All Along the Watchtower,['Jimi Hendrix'],Electric Ladyland,1968-10-25,1968,240800,False,78,0.438,0.805,8,-6.237,1,0.0624,0.00255,5.69e-05,0.0842,0.564,113.253
The Sound of Rock,5QLHGv0DfpeXLNFo7SFEy1,1979 - Remastered 2012,['The Smashing Pumpkins'],Mellon Collie And The Infinite Sadness (Deluxe Edition),1995-01-01,1995,266200,False,81,0.767,0.787,3,-9.897,1,0.0331,0.0163,0.583,0.0513,0.964,126.879
The Sound of Rock,7N3PAbqfTjSEU1edb2tY8j,Jump - 2015 Remaster,['Van Halen'],1984 (Remastered),1984-01-04,1984,241599,False,81,0.572,0.835,0,-6.219,1,0.0317,0.171,0.000377,0.0702,0.795,129.981
The Sound of Rock,1Jmqubf9kGkWeYQXQKImL5,People Are Strange,['The Doors'],Strange Days,1967-09-25,1967,130173,False,79,0.699,0.467,4,-8.578,0,0.0375,0.685,0.0,0.315,0.764,119.287
The Sound of Rock,0gucTLf7trAf37Ua1uAyAu,Smells Like Teen Spirit - Remastered,['Nirvana'],Nevermind (30th Anniversary Super Deluxe),1991-09-24,1991,300893,False,58,0.489,0.918,1,-4.502,1,0.0554,3.53e-05,7.64e-05,0.0908,0.691,116.731
The Sound of Rock,63T7DJ1AFDD6Bn8VzG6JE8,"Paint It, Black",['The Rolling Stones'],Aftermath,1966-04-15,1966,202266,False,86,0.464,0.795,1,-9.267,1,0.0926,0.0493,0.00244,0.399,0.612,158.691
The Sound of Rock,6QewNVIDKdSl8Y3ycuHIei,Even Flow,['Pearl Jam'],Ten,1991-08-27,1991,292580,True,81,0.394,0.944,10,-6.506,0,0.0761,0.00178,4.54e-06,0.298,0.265,105.338
The Sound of Rock,59WN2psjkt1tyaxjspN8fp,Killing In The Name,['Rage Against The Machine'],Rage Against The Machine - XX (20th Anniversary Special Edition),1992-01-01,1992,313573,True,82,0.466,0.833,7,-4.215,1,0.304,0.0266,0.0,0.0327,0.661,88.785
The Sound of Rock,6qLEOZvf5gI7kWE63JE7p3,Interstate Love Song - 2019 Remaster,['Stone Temple Pilots'],Purple (2019 Remaster),1994-06-07,1994,194853,False,78,0.215,0.927,9,-7.327,1,0.0452,0.000273,0.00661,0.126,0.49,170.814
The Sound of Rock,7e89621JPkKaeDSTQ3avtg,Sweet Home Alabama,['Lynyrd Skynyrd'],Second Helping (Expanded Edition),1974-04-15,1974,283800,False,84,0.596,0.605,7,-12.145,1,0.0255,0.181,0.000331,0.0863,0.886,97.798
The Sound of Rock,6gZVQvQZOFpzIy3HblJ20F,Man in the Box,['Alice In Chains'],Facelift,1990-08-01,1990,285200,True,78,0.355,0.791,8,-7.565,1,0.0453,0.00045,0.0,0.0969,0.758,106.392
The Sound of Rock,1xsYj84j7hUDDnTTerGWlH,Dream On,['Aerosmith'],Aerosmith,1973-01-05,1973,267596,False,86,0.392,0.476,1,-7.583,1,0.0249,0.397,0.000163,0.309,0.234,78.031
The Sound of Rock,0u6JFVn0KHHlidZxNL9gVE,La Grange (2005 Remaster),['ZZ Top'],Tres Hombres (Expanded 2006 Remaster),1973-07-26,1973,230480,False,61,0.509,0.641,4,-9.936,0,0.264,0.00249,0.0304,0.196,0.612,161.74
The Sound of Rock,0pQskrTITgmCMyr85tb9qq,Starman - 2012 Remaster,['David Bowie'],The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),1972-06-06,1972,254293,False,81,0.486,0.449,5,-10.298,1,0.0267,0.166,2.23e-06,0.54,0.549,100.456
The Sound of Rock,1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,['The Police'],Synchronicity (Remastered 2003),1983-06-17,1983,253920,False,91,0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401
The Sound of Rock,31AOj9sFz2gM0O3hMARRBx,Losing My Religion,['R.E.M.'],Out Of Time (25th Anniversary Edition),1991-03-12,1991,268426,False,87,0.666,0.855,9,-5.051,0,0.0295,0.179,1.2e-06,0.0987,0.803,125.639
The Sound of Rock,5MMnwYs0hIxkENRsbkWJ2G,Smoke On The Water - Remastered 2012,['Deep Purple'],Machine Head (Remastered),1972-03-25,1972,340742,False,75,0.598,0.676,0,-9.211,1,0.0279,0.13,0.225,0.112,0.805,114.169
The Sound of Rock,7ACxUo21jtTHzy7ZEV56vU,Crazy Train,['Ozzy Osbourne'],Blizzard Of Ozz (40th Anniversary Expanded Edition),2020-09-18,2020,293183,False,81,0.454,0.913,9,-4.008,1,0.107,0.408,0.000271,0.248,0.521,137.688
The Sound of Rock,2xt2piJx6jlFkjS77YiqpL,Like a Stone,['Audioslave'],Audioslave,2002-01-01,2002,293960,False,52,0.614,0.568,7,-5.477,0,0.0276,0.00797,0.0,0.0997,0.516,107.849
The Sound of Rock,39shmbIHICJ2Wxnk1fPSdz,Should I Stay or Should I Go - Remastered,['The Clash'],Combat Rock (Remastered),1982-01-01,1982,188986,False,82,0.743,0.836,2,-6.465,1,0.116,0.0804,0.0,0.384,0.82,113.375
The Sound of Rock,4gMgiXfqyzZLMhsksGmbQV,"Another Brick in the Wall, Pt. 2",['Pink Floyd'],The Wall,1979-11-30,1979,238746,False,79,0.693,0.394,0,-15.882,1,0.0428,0.0782,0.000694,0.247,0.721,104.114
The Sound of Rock,2K2M0TcglCRLLpFOzKeFZA,Sunshine Of Your Love,['Cream'],Disraeli Gears (Deluxe Edition),1967-11-01,1967,250400,False,73,0.683,0.594,2,-8.289,1,0.0347,0.385,8.61e-05,0.121,0.734,115.099
The Sound of Rock,70LcF31zb1H0PyJoS1Sx1r,Creep,['Radiohead'],Pablo Honey,1993-02-22,1993,238640,True,90,0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844
The Sound of Rock,7wCmS9TTVUcIhRalDYFgPy,Where Is My Mind? - Remastered,['Pixies'],Surfer Rosa,1988-03-21,1988,234973,False,81,0.519,0.441,4,-14.178,1,0.0353,0.0204,0.000453,0.076,0.25,81.334
The Sound of Rock,6y20BV5L33R8YXM0YuI38N,No One Knows,['Queens of the Stone Age'],Songs For The Deaf,2002-01-01,2002,278746,False,75,0.509,0.584,0,-4.907,1,0.057,0.0368,9.96e-05,0.384,0.685,170.411
The Sound of Rock,5tVA6TkbaAH9QMITTQRrNv,Free Fallin',['Tom Petty'],Full Moon Fever,1989-01-01,1989,256000,False,81,0.623,0.449,5,-13.333,1,0.0253,0.212,0.0,0.0613,0.572,84.383
The Sound of Rock,1FTSo4v6BOZH9QxKc3MbVM,Song 2 - 2012 Remaster,['Blur'],Blur (Special Edition),1997-02-10,1997,121160,False,84,0.674,0.789,8,-6.903,1,0.0676,0.00178,0.00708,0.0753,0.918,129.802
The Sound of Rock,5QTxFnGygVM4jFQiBovmRo,(Don't Fear) The Reaper,['Blue Öyster Cult'],Agents Of Fortune,1976-01-01,1976,308120,False,77,0.333,0.927,9,-8.55,0,0.0733,0.0029,0.000208,0.297,0.385,141.466
The Sound of Rock,3QZ7uX97s82HFYSmQUAN1D,Tom Sawyer,['Rush'],Moving Pictures (2011 Remaster),1981-02-12,1981,276880,False,74,0.536,0.901,9,-7.211,1,0.0374,0.00145,0.0186,0.06,0.666,87.559
The Sound of Rock,2hYFCMj1OmXA6Zq5HxVlQG,Kickstart My Heart,['Mötley Crüe'],The Dirt Soundtrack,2000-01-01,2000,282920,False,60,0.458,0.969,7,-4.819,0,0.177,0.0018,0.00193,0.371,0.268,89.566
The Sound of Rock,4KcH1ZRV2W1q7Flq0QqC76,Blitzkrieg Bop - 2016 Remaster,['Ramones'],Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),1976-04-23,1976,134466,False,76,0.385,0.783,9,-2.533,1,0.233,0.000269,0.47,0.108,0.902,176.701
The Sound of Rock,5XcZRgJv3zMhTqCyESjQrF,Poison,['Alice Cooper'],Trash,1989-07-25,1989,270080,False,75,0.28,0.908,2,-5.509,0,0.109,0.0327,8.85e-06,0.18,0.26,118.698
The Sound of Rock,3ZOEytgrvLwQaqXreDs2Jx,Can't Stop,['Red Hot Chili Peppers'],By the Way (Deluxe Edition),2002-07-09,2002,269000,False,87,0.618,0.938,9,-3.442,1,0.0456,0.0179,0.0,0.167,0.875,91.455
The Sound of Rock,1QEEqeFIZktqIpPI4jSVSF,More Than a Feeling,['Boston'],Boston,1976-01-01,1976,285133,False,82,0.377,0.681,7,-8.039,1,0.0298,0.00088,0.0023,0.0504,0.285,108.789
The Sound of Rock,1QFh8OH1e78dGd3VyJZCAC,Boys Don't Cry,['The Cure'],Three Imaginary Boys,1979-05-11,1979,155973,False,82,0.462,0.836,11,-5.766,0,0.0621,0.00517,0.0,0.18,0.671,168.766
The Sound of Rock,6tZdL3Zp8JgrfDbsSeSV1S,You Really Got Me,['The Kinks'],Kinks (Deluxe Edition),1964-02-02,1964,133933,False,75,0.567,0.959,8,-3.822,1,0.102,0.0995,6.07e-05,0.1,0.961,137.377
The Sound of Rock,4OROzZUy6gOWN4UGQVaZMF,The Trooper - 2015 Remaster,['Iron Maiden'],Piece of Mind (2015 Remaster),1983-01-01,1983,252733,False,77,0.285,0.908,4,-4.601,0,0.0705,0.0318,0.00909,0.311,0.669,159.756
The Sound of Rock,3CIOopLwvyMvXk97ZEksKO,Ace of Spades,['Motörhead'],Ace of Spades (Expanded Edition),1980-11-08,1980,168320,False,77,0.322,0.991,6,-4.453,1,0.213,0.00313,0.0035,0.0708,0.198,140.221
The Sound of Rock,2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,['AC/DC'],Highway to Hell,1979-07-27,1979,208400,False,87,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728
The Sound of Rock,1IqFh00G2kvvMm8pRMpehA,Me and Bobby McGee,['Janis Joplin'],Pearl (Legacy Edition),1971-01-11,1971,271333,False,72,0.43,0.463,2,-10.96,1,0.0442,0.303,5.84e-05,0.152,0.66,93.405
The Sound of Rock,3dmqIB2Qxe2XZobw9gXxJ6,Mary Jane's Last Dance,['Tom Petty and the Heartbreakers'],Greatest Hits,2008-05-20,2008,273600,False,76,0.464,0.655,7,-9.058,0,0.0608,0.0272,1.34e-06,0.328,0.531,169.515
The Sound of Rock,54b8qPFqYqIndfdxiLApea,Alone,['Heart'],Bad Animals,1987-06-06,1987,218733,False,77,0.418,0.452,1,-13.099,1,0.0356,0.638,0.00026,0.0959,0.168,175.088
The Sound of Rock,0PdM2a6oIjqepoEfcJo0RO,Pour Some Sugar On Me - Remastered 2017,['Def Leppard'],Hysteria (Super Deluxe),1987-08-03,1987,267306,False,77,0.267,0.953,1,-4.899,0,0.096,0.00211,0.0,0.283,0.568,84.989
The Sound of Rock,63OFKbMaZSDZ4wtesuuq6f,Born To Be Wild,['Steppenwolf'],Steppenwolf,1968-01-01,1968,210373,False,77,0.438,0.71,2,-12.412,1,0.0919,0.262,0.537,0.221,0.53,145.928
The Sound of Rock,0pUVeEgZuNyFzIMKp67RbS,Eyes Without A Face,['Billy Idol'],Rebel Yell,1983-11-01,1983,299240,False,80,0.391,0.815,9,-6.197,1,0.0518,0.0177,0.00226,0.276,0.647,84.383
The Sound of Rock,7snQQk1zcKl8gZ92AnueZW,Sweet Child O' Mine,"[""Guns N' Roses""]",Appetite For Destruction,1987-07-21,1987,356066,False,89,0.446,0.952,6,-5.321,1,0.0523,0.0901,0.0857,0.112,0.624,125.303
The Sound of Rock,07q0QVgO56EorrSGHC48y3,I Was Made For Lovin' You,['KISS'],Dynasty,1979-03-23,1979,271240,False,84,0.768,0.852,4,-6.215,1,0.038,0.214,7.36e-05,0.0723,0.867,128.373
The Sound of Rock,7BY005dacJkbO6EPiOh2wb,House Of The Rising Sun,['The Animals'],The Animals,1964-01-01,1964,271280,False,74,0.295,0.584,9,-6.696,0,0.0345,0.000385,0.218,0.0996,0.228,117.2
The Sound of Rock,5sICkBXVmaCQk5aISGR3x1,Enter Sandman,['Metallica'],Metallica,1991-08-12,1991,331266,False,84,0.577,0.828,6,-8.691,0,0.0298,0.00213,0.0114,0.0581,0.604,123.257
The Sound of Rock,2MLHyLy5z5l5YRp7momlgw,Island In The Sun,['Weezer'],Weezer,2001-05-15,2001,200306,False,82,0.654,0.81,4,-6.26,0,0.0288,0.00719,0.00251,0.165,0.661,114.623
The Sound of Rock,24FmdHoCr2jZGE6Z6dZbJT,The Passenger,['Iggy Pop'],Lust For Life,1977-01-01,1977,284066,False,49,0.5,0.846,0,-8.098,1,0.0457,0.0797,0.0,0.241,0.738,134.937
The Sound of Rock,2DlHlPMa4M17kufBvI2lEN,Chop Suey!,['System Of A Down'],Toxicity,2001-09-04,2001,210240,False,87,0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066
The Sound of Rock,4EchqUKQ3qAQuRNKmeIpnf,The Kids Aren't Alright,['The Offspring'],Americana,1998-11-16,1998,180160,False,86,0.523,0.943,1,-4.203,1,0.0337,0.00704,3.81e-05,0.0579,0.766,99.607
The Sound of Rock,3lPr8ghNDBLc2uZovNyLs9,Supermassive Black Hole,['Muse'],Black Holes and Revelations,2006-06-19,2006,212439,False,81,0.668,0.921,7,-3.727,1,0.0439,0.0492,0.00517,0.0877,0.782,120.0
The Sound of Rock,4vpeKl0vMGdAXpZiQB2Dtd,White Rabbit,['Jefferson Airplane'],Surrealistic Pillow,1967-01-01,1967,150640,False,73,0.551,0.293,2,-12.503,1,0.0272,0.486,0.000273,0.0864,0.322,106.798
The Sound of Rock,1i6N76fftMZhijOzFQ5ZtL,Psycho Killer - 2005 Remaster,['Talking Heads'],Talking Heads '77 (Deluxe Version),1977-09-16,1977,261413,False,79,0.721,0.521,2,-8.123,1,0.0613,0.0708,0.00545,0.127,0.942,123.118
The Sound of Rock,0zWuOowhDnhikrtBH5w9eT,Basket Case,['Green Day'],Dookie,1994-01-28,1994,182916,False,46,0.31,0.923,3,-5.242,1,0.0771,0.00583,1.77e-06,0.087,0.747,177.029
The Sound of Rock,6dGnYIeXmHdcikdzNNDMm2,Here Comes The Sun - Remastered 2009,['The Beatles'],Abbey Road (Remastered),1969-09-26,1969,185733,False,87,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171
The Sound of Rock,6HSXNV0b4M4cLJ7ljgVVeh,Knockin' On Heaven's Door,['Bob Dylan'],Pat Garrett & Billy The Kid (Soundtrack From The Motion Picture),1973-07-13,1973,149880,False,79,0.513,0.396,7,-13.061,1,0.0299,0.251,0.177,0.11,0.229,140.208
The Sound of Rock,5ruzrDWcT0vuJIOMW7gMnW,The Adults Are Talking,['The Strokes'],The New Abnormal,2020-04-10,2020,309053,False,83,0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959
The Sound of Rock,3pHpV3pa96s4vuBP7sQq0V,Is This Love - 2018 Remaster,['Whitesnake'],Whitesnake (2018 Remaster),1987-01-01,1987,284496,False,71,0.263,0.759,0,-7.288,1,0.0431,0.0555,0.0,0.231,0.429,179.904
The Sound of Rock,2lFFiNm0XtgJ6wkdncTB4k,Drive - 2017 Remaster,['The Cars'],Heartbeat City (Expanded Edition),1984-01-01,1984,234332,False,75,0.261,0.703,6,-7.871,1,0.0414,0.115,0.00078,0.102,0.405,83.495
The Sound of Rock,2LawezPeJhN4AWuSB0GtAU,Have You Ever Seen The Rain,['Creedence Clearwater Revival'],Pendulum (Expanded Edition),1970-12-07,1970,160133,False,90,0.741,0.697,0,-7.028,1,0.0277,0.0664,2.28e-05,0.133,0.774,116.109
The Sound of Rock,5vd1QZ0tdXOExiegC55IAS,Heart Of Gold,['Neil Young'],"Eat, Pray, Love",2010-01-01,2010,188440,False,77,0.55,0.525,7,-8.754,1,0.0275,0.288,0.0172,0.106,0.806,171.172
The Sound of Rock,003vvx7Niy0yvhvHt4a68B,Mr. Brightside,['The Killers'],Hot Fuss,2004-01-01,2004,222973,False,90,0.352,0.911,1,-5.23,1,0.0747,0.00121,0.0,0.0995,0.236,148.033
The Sound of Rock,5G1sTBGbZT5o4PNRc75RKI,Lonely Boy,['The Black Keys'],El Camino,2011-12-06,2011,193653,False,81,0.356,0.872,2,-7.837,1,0.068,0.00417,0.00975,0.0997,0.607,166.3
The Sound of Rock,1bp2IO61zbQrbWNmKKxg3f,The Joker,['Steve Miller Band'],The Joker,1973-01-01,1973,264503,False,78,0.596,0.448,5,-9.616,1,0.0396,0.365,5.3e-06,0.206,0.796,83.293
The Sound of Rock,5qqabIl2vWzo9ApSC317sa,Wonderwall - Remastered,['Oasis'],(What's The Story) Morning Glory? [Remastered],1995-10-02,1995,258773,False,81,0.378,0.896,2,-4.066,1,0.0407,0.000452,0.0,0.194,0.469,174.302
The Sound of Rock,6zeE5tKyr8Nu882DQhhSQI,Dust in the Wind,['Kansas'],Point Of Know Return (Expanded Edition),1977-01-01,1977,206266,False,81,0.475,0.322,7,-10.687,1,0.0283,0.367,0.00056,0.11,0.387,93.503
The Sound of Rock,2RaA6kIcvomt77qlIgGhCT,Breaking the Law,['Judas Priest'],British Steel,1980-01-01,1980,153840,False,75,0.362,0.961,2,-5.664,1,0.0857,0.024,9.35e-06,0.159,0.491,164.019
The Sound of Rock,34iOH7LY3vme5rQxsVILZ4,Love Will Tear Us Apart - 2020 Remaster,['Joy Division'],Love Will Tear Us Apart,1980-06-01,1980,208453,False,74,0.527,0.923,2,-7.458,1,0.0379,0.000541,0.765,0.127,0.899,146.924
The Sound of Rock,2ccUQnjjNWT0rsNnsBpsCA,Surrender,['Cheap Trick'],Heaven Tonight,1978-04-01,1978,253733,False,71,0.524,0.955,0,-7.081,1,0.0411,0.00717,8.77e-06,0.659,0.869,133.849
The Sound of Rock,20I8RduZC2PWMWTDCZuuAN,Take Me Out,['Franz Ferdinand'],Franz Ferdinand,2004-02-16,2004,237026,False,83,0.277,0.663,4,-8.821,0,0.0377,0.000409,0.00051,0.136,0.527,104.561
The Sound of Rock,1JLn8RhQzHz3qDqsChcmBl,I Want to Know What Love Is - 1999 Remaster,['Foreigner'],Agent Provocateur,1984-12-12,1984,304786,False,84,0.477,0.471,6,-10.036,1,0.0277,0.193,1.76e-06,0.131,0.423,81.204
The Sound of Rock,5moTxUGPZXgGmosl4rIELm,Anarchy In The UK,['Sex Pistols'],"Never Mind The Bollocks, Here’s The Sex Pistols",1977-10-27,1977,212480,False,63,0.359,0.949,0,-7.649,1,0.101,0.0556,0.000396,0.236,0.212,134.118
The Sound of Rock,2m1hi0nfMR9vdGC8UcrnwU,All The Small Things,['blink-182'],Enema Of The State,1999-06-01,1999,167066,False,86,0.434,0.897,0,-4.918,1,0.0488,0.0103,0.0,0.612,0.684,148.726
The Sound of Rock,0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,['Fleetwood Mac'],Rumours (Super Deluxe),1977-02-04,1977,257800,False,89,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151
The Sound of Rock,11VwZwNF29HrqwalYUMitb,Pale Blue Eyes,['The Velvet Underground'],The Velvet Underground (45th Anniversary),1969-01-01,1969,339533,False,68,0.637,0.107,5,-18.759,1,0.0349,0.911,0.00146,0.103,0.296,82.879
The Sound of Rock,2zFdsAIk9r2Mi7Lmm1w3sM,That's All - 2007 Remaster,['Genesis'],Genesis (2007 Remaster),1983-10-03,1983,264573,False,75,0.596,0.657,4,-8.784,0,0.0345,0.235,0.0139,0.102,0.774,175.263
The Sound of Rock,6zC0mpGYwbNTpk9SKwh08f,Wonderful Tonight,['Eric Clapton'],Slowhand 35th Anniversary (Super Deluxe),1977-11-01,1977,225026,False,77,0.572,0.214,7,-15.625,1,0.0293,0.649,0.129,0.125,0.485,95.542
The Sound of Rock,5mR858YsHYG761aUqZoGkD,Symphony Of Destruction - Remastered 2012,['Megadeth'],Countdown To Extinction (Deluxe Edition - Remastered),1992-06-14,1992,241906,False,71,0.663,0.91,4,-5.131,0,0.0495,0.00052,0.675,0.112,0.708,140.044
The Sound of Rock,7pKfPomDEeI4TPT6EOYjn9,Imagine - Remastered 2010,['John Lennon'],Imagine,1971-09-09,1971,187866,False,81,0.547,0.257,0,-12.358,1,0.0252,0.907,0.183,0.0935,0.169,75.752
The Sound of Rock,43DeSV93pJPT4lCZaWZ6b1,The Boys Are Back In Town,['Thin Lizzy'],Jailbreak (Deluxe Edition),1976-01-01,1976,266720,False,76,0.445,0.706,8,-9.803,1,0.0461,0.234,0.000252,0.205,0.768,80.823
The Sound of Rock,7c1Dar0pIAW7w5TzaGjt9t,Jane Says,"[""Jane's Addiction""]",Nothing's Shocking,1988-08-23,1988,287000,False,67,0.402,0.597,2,-9.258,1,0.0327,0.0385,2.09e-06,0.109,0.496,81.806
The Sound of Rock,7fcfNW0XxTWlwVlftzfDOR,Walk,['Pantera'],Vulgar Display of Power,1992-02-21,1992,315120,True,78,0.43,0.704,1,-8.008,0,0.0804,0.000155,0.00221,0.0933,0.703,118.242
The Sound of Rock,4ReyTz0y3TGkX48wO3Llot,Epic,['Faith No More'],The Real Thing,1989-01-01,1989,293653,False,72,0.358,0.893,4,-7.486,0,0.12,0.0222,0.0524,0.126,0.262,174.238
The Sound of Rock,4IHc6SzGPnzSPuHVEPzpJc,Wouldn't It Be Nice,['The Beach Boys'],Pet Sounds,1966-05-16,1966,153240,False,73,0.392,0.629,5,-7.056,1,0.0334,0.718,3.65e-06,0.129,0.72,124.511
The Sound of Rock,0KZodeWxqxd88F9wY1cqgs,My Sweet Lord (2014 Remaster),['George Harrison'],All Things Must Pass (2014 Remaster),1970-11-20,1970,281231,False,78,0.54,0.688,1,-9.021,0,0.0331,0.0812,0.0,0.0857,0.564,120.981
The Sound of Rock,0ntQJM78wzOLVeCUAW7Y45,Sex on Fire,['Kings of Leon'],Only By The Night,2008-09-23,2008,203346,False,85,0.542,0.905,9,-5.653,1,0.054,0.00172,0.0104,0.136,0.374,153.398
The Sound of Rock,6W21LNLz9Sw7sUSNWMSHRu,Freak On a Leash,['Korn'],Follow The Leader,1998-08-18,1998,255733,True,80,0.353,0.898,2,-5.877,1,0.052,2.23e-05,0.105,0.39,0.525,103.293
The Sound of Rock,0GTK6TesV108Jj5D3MHsYb,Owner of a Lonely Heart,['Yes'],90125 (Deluxe Version),1983-06-01,1983,268506,False,73,0.744,0.798,7,-5.981,1,0.0364,0.175,0.00367,0.26,0.89,125.061
The Sound of Rock,1hlveB9M6ijHZRbzZ2teyh,We're Not Gonna Take It,['Twisted Sister'],Stay Hungry,1984-05-10,1984,219666,False,77,0.502,0.924,4,-6.299,1,0.0503,0.0127,0.0,0.162,0.922,149.186
The Sound of Rock,3ovjw5HZZv43SxTwApooCM,Wind Of Change,['Scorpions'],Crazy World,1990-01-01,1990,312360,False,82,0.452,0.524,0,-10.108,1,0.0351,0.315,0.0,0.103,0.246,151.505
The Sound of Rock,7nnWIPM5hwE3DaUBkvOIpy,Drive,['Incubus'],Make Yourself,1999-10-26,1999,232453,False,80,0.645,0.792,4,-7.34,0,0.036,0.0562,0.0121,0.119,0.666,90.565
The Sound of Rock,3acBQxxlyb0jC2xqndDzSf,"You Know My Name - From ""Casino Royale"" Soundtrack",['Chris Cornell'],Carry On,2007-01-01,2007,240120,False,61,0.366,0.869,11,-3.316,0,0.0387,0.0207,0.0,0.254,0.384,138.051
The Sound of Rock,3KPwt1LBpt1jVSHz8GXERo,Feel like Makin' Love - 2015 Remaster,['Bad Company'],Straight Shooter,1975-01-01,1975,313840,False,68,0.543,0.529,7,-9.717,1,0.0301,0.326,0.00269,0.709,0.746,85.126
The Sound of Rock,57iDDD9N9tTWe75x6qhStw,Bitter Sweet Symphony - Remastered 2016,['The Verve'],Urban Hymns (Remastered 2016),1997-09-29,1997,357266,False,83,0.356,0.917,9,-6.006,1,0.0479,0.0335,0.0,0.406,0.518,171.176
The Sound of Rock,2tznHmp70DxMyr2XhWLOW0,Cigarette Daydreams,['Cage The Elephant'],Melophobia,2013-10-08,2013,208760,False,82,0.636,0.676,2,-3.442,1,0.0263,0.0807,0.0,0.0831,0.273,113.98
The Sound of Rock,2oDqmfa2g8W893LlwJG1qu,Closer,['Nine Inch Nails'],The Downward Spiral,1994-03-08,1994,373000,True,70,0.547,0.714,10,-8.628,0,0.044,0.000242,0.636,0.122,0.541,89.996
The Sound of Rock,3Nf8oGn1okobzjDcFCvT6n,I'll Stand by You,['Pretenders'],Last of the Independents,1994-06-01,1994,240760,False,75,0.438,0.606,7,-6.549,1,0.0305,0.3,4.49e-06,0.0754,0.266,133.822
The Sound of Rock,6ADSaE87h8Y3lccZlBJdXH,With Or Without You,['U2'],The Joshua Tree (Super Deluxe),1987-03-03,1987,295515,False,83,0.54,0.429,2,-11.822,1,0.0285,0.000202,0.355,0.141,0.113,110.171
The Sound of Rock,43GS3mtezoIFiuIZCLLiDY,Every Rose Has Its Thorn - 2003 Remaster,['Poison'],Open Up And Say...Ahh! (20th Anniversary Edition),1988-03-21,1988,260173,False,74,0.533,0.637,6,-5.571,1,0.0323,0.16,1.12e-05,0.369,0.292,140.167
The Sound of Rock,1a2iF9XymafjRk56q7oCxo,Pride and Joy,['Stevie Ray Vaughan'],Texas Flood (Legacy Edition),1983-01-01,1983,219586,False,70,0.427,0.626,8,-11.821,1,0.0385,0.0274,0.00395,0.106,0.743,126.877
The Sound of Rock,7EZC6E7UjZe63f1jRmkWxt,Zombie,['The Cranberries'],No Need To Argue (The Complete Sessions 1994-1995),1994-10-03,1994,306440,False,86,0.309,0.649,7,-8.994,1,0.035,0.0158,0.00591,0.367,0.312,166.915
The Sound of Rock,5XTdMVT5i5qcfyTXWxhxVZ,Ghost Song,"['Jim Morrison', 'The Doors']",An American Prayer,1978-01-01,1978,170666,False,60,0.764,0.48,0,-13.63,1,0.0819,0.416,0.316,0.107,0.705,110.175
The Sound of Rock,39lSeqnyjZJejRuaREfyLL,Hungry Like the Wolf - 2009 Remaster,['Duran Duran'],Rio (Collector's Edition),1982-05-10,1982,220626,False,77,0.691,0.812,0,-7.772,1,0.0558,0.0433,1.16e-06,0.299,0.685,127.568
